"sku","parent_sku","locale","attribute_family_code","type","categories","images","name","description","short_description","status","visible_individually","length","width","height","weight","price","special_price","special_price_from","special_price_to","url_key","meta_title","meta_keywords","meta_description","manage_stock","inventories","related_skus","cross_sell_skus","up_sell_skus","tax_status","tax_category_id","global_unique_id","cases_in_stock","custom_product_subtitle","pack_quantity","low_stock_amount","pmp_or_not","max_order","por_percentage","product_size","prom_id","prom_start","promo_end","total_sales","rrp_price","outer_pack_size","shipping_class","configurable_variants","priority","errors"
"39605","","en","variant_family","simple","WINE/PERRY","39605.webp","BELLARINI BIANCO","BELLARINI BIANCO","BELLARINI BIANCO","1","1","","","","10","10.39","0","01/09/2025","07/09/2025","bellarini-bianco-39605","","","","33","default=34","","","","19","1","","33","12x75CL","","","PLAIN","0","37.93","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.69","","No Shipping class","0","1",""
"39250","","en","variant_family","simple","BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER","39250.webp","BLACK STORM CIDER CAN PM£1.29","BLACK STORM CIDER CAN PM£1.29","BLACK STORM CIDER CAN PM£1.29","1","1","","","","10","17.99","17.89","01/09/2025","07/09/2025","black-storm-cider-can-pmps129-39250","","","","144","default=113","","","","19","1","","144","24x500ML","","","PMP","0","27.17","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.29","","No Shipping class","0","2",""
"39600","","en","variant_family","simple","BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER","0","WHITE STORM CIDER PM £5.69","WHITE STORM CIDER PM £5.69","WHITE STORM CIDER PM £5.69","1","1","","","","10","13.29","0","01/09/2025","07/09/2025","white-storm-cider-pm-ps569-39600","","","","19","default=54","","","","19","1","","19","4x2.5LTR","","","PMP","0","28.88","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","5.69","","No Shipping class","0","3",""
"151613","","en","variant_family","configurable","SOFT DRINK/JUICES","151613.webp","MOGU MOGU PINEAPPLE","MOGU MOGU PINEAPPLE","MOGU MOGU PINEAPPLE","1","1","","","","0","0","0","01/09/2025","07/09/2025","mogu-mogu-pineapple-151613","","","","7","0","","","","0","0","","1","6x320ML","","","PLAIN","10","28.62","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.09","","No Shipping class","sku=151613a,pack_size=Pack 1|sku=151613c,pack_size=Pack 2","4","The special price field must be less than 0."
"151423","","en","variant_family","configurable","SOFT DRINK/JUICES","151423.webp","MOGU MOGU ORANGE","MOGU MOGU ORANGE","MOGU MOGU ORANGE","1","1","","","","0","0","0","01/09/2025","07/09/2025","mogu-mogu-orange-151423","","","","22","0","","","","0","0","","5","6x320ML","","","PLAIN","10","32.93","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.16","","No Shipping class","sku=151423a,pack_size=Pack 1|sku=151423c,pack_size=Pack 2","5","The special price field must be less than 0."
"151425","","en","variant_family","configurable","SOFT DRINK/JUICES","151425.webp","MOGU MOGU PASSION FRUIT","MOGU MOGU PASSION FRUIT","MOGU MOGU PASSION FRUIT","1","1","","","","0","0","0","01/09/2025","07/09/2025","mogu-mogu-passion-fruit-151425","","","","5","0","","","","0","0","","1","6x320ML","","","PLAIN","10","32.93","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.16","","No Shipping class","sku=151425a,pack_size=Pack 1|sku=151425c,pack_size=Pack 2","6","The special price field must be less than 0."
"151424","","en","variant_family","configurable","SOFT DRINK/JUICES","0","MOGU MOGU PINK GUAVA","MOGU MOGU PINK GUAVA","MOGU MOGU PINK GUAVA","1","1","","","","0","0","0","01/09/2025","07/09/2025","mogu-mogu-pink-guava-151424","","","","3","0","","","","0","0","","0","6x320ML","","","PLAIN","10","32.93","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.16","","No Shipping class","sku=151424a,pack_size=Pack 1|sku=151424c,pack_size=Pack 2","7","The special price field must be less than 0."
"151627","","en","variant_family","configurable","SOFT DRINK/JUICES","151627.webp","MOGU MOGU MELON","MOGU MOGU MELON","MOGU MOGU MELON","1","1","","","","0","0","0","01/09/2025","07/09/2025","mogu-mogu-melon-151627","","","","12","0","","","","0","0","","3","6x320ML","","","PLAIN","10","32.93","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.16","","No Shipping class","sku=151627a,pack_size=Pack 1|sku=151627c,pack_size=Pack 2","8","The special price field must be less than 0."
"903359","","en","variant_family","configurable","GROCERY/OIL & GHEE","903359.webp","CRYSTAL PURE SUNFLOWER OIL","CRYSTAL PURE SUNFLOWER OIL","CRYSTAL PURE SUNFLOWER OIL","1","1","","","","0","0","0","01/09/2025","07/09/2025","crystal-pure-sunflower-oil-903359","","","","8024","0","","","","0","0","","2674","1x5 LTR","","","PLAIN","0","18.65","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","7.99","","No Shipping class","sku=903359a,pack_size=Pack 1|sku=903359c,pack_size=Pack 2","9","The special price field must be less than 0."
"901994","","en","variant_family","simple","HOT DRINKS/TEA","901994.webp","WAGH BAKRI TEA 1KG","WAGH BAKRI TEA 1KG","WAGH BAKRI TEA 1KG","1","1","","","","10","6.59","6.49","01/09/2025","07/09/2025","wagh-bakri-tea-1kg-901994","","","","42","default=18","","","","19","3","","3","1x1KG","","","PLAIN","0","18.85","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","8.49","","No Shipping class","0","10",""
"903299","","en","variant_family","simple","CRISPS AND SNACKS/ETHNIC SNACKS","903299.webp","KURKURE SOLID MASTI","KURKURE SOLID MASTI","KURKURE SOLID MASTI","1","1","","","","10","11.99","0","01/09/2025","07/09/2025","kurkure-solid-masti-903299","","","","12","default=3","","","","19","1","","12","30x100G","","","PLAIN","0","11.93","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","0.59","","No Shipping class","0","11",""
