sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,length,width,height,weight,price,special_price,special_price_from,special_price_to,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,tax_status,tax_category_id,global_unique_id,cases_in_stock,custom_product_subtitle,pack_quantity,low_stock_amount,pmp_or_not,max_order,por_percentage,product_size,prom_id,prom_start,promo_end,total_sales,rrp_price,outer_pack_size,shipping_class,configurable_variants
903193,,en,variant_family,configurable,"SPIRITS/TEQUILA, LIQUEURS & APERITIFS",,FIREBALL CINNMON & WHISKY LIQUEUR,FIREBALL CINNMON & WHISKY LIQUEUR,FIREBALL CINNMON & WHISKY LIQUEUR,1,1,,,,,,,,,fireball-cinnmon-whisky-liqueur-903193,,,,,,,,,,,,0,,,,PLAIN,,23.7,,,,,,1.65,,No Shipping class,"sku=903193a,pack_size=Pack 1|sku=903193c,pack_size=Pack 2"
903193a,903193,en,variant_family,simple,"SPIRITS/TEQUILA, LIQUEURS & APERITIFS",,FIREBALL CINNMON & WHISKY LIQUEUR,FIREBALL CINNMON & WHISKY LIQUEUR,FIREBALL CINNMON & WHISKY LIQUEUR,1,0,,,,10,12.59,,,,fireball-cinnmon-whisky-liqueur-903193a,,,,1,default=7,,,,19,1,,0,12x5CL,,,PLAIN,,23.7,,,,,,1.65,,No Shipping class,
903193c,903193,en,variant_family,simple,"SPIRITS/TEQUILA, LIQUEURS & APERITIFS",,FIREBALL CINNMON & WHISKY LIQUEUR,FIREBALL CINNMON & WHISKY LIQUEUR,FIREBALL CINNMON & WHISKY LIQUEUR,1,0,,,,10,124.99,,,,fireball-cinnmon-whisky-liqueur-903193c,,,,1,default=7,,,,19,1,,0,10X12x5CL,10,,PLAIN,,23.7,,,,,,1.65,,No Shipping class,
903200,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/BEER & LAGER",,FOSTERS SHANDY 4PACK,FOSTERS SHANDY 4PACK,FOSTERS SHANDY 4PACK,1,1,,,,10,15.49,,,,fosters-shandy-4pack-903200,,,,1,default=3,,,,19,1,,3,6x440ML,,,PLAIN,,26.06,,,,,,4.19,,No Shipping class,
903478,,en,variant_family,simple,CATERING & ETHNIC/OIL & GHEE,,WHITE PEARL SUNFLOWER OIL,WHITE PEARL SUNFLOWER OIL,WHITE PEARL SUNFLOWER OIL,1,1,,,,10,19.5,,,,white-pearl-sunflower-oil-903478,,,,1,default=89,,,,19,3,,89,3x5LTR,,,PLAIN,,7.01,,,,,,6.99,,No Shipping class,
903759,,en,variant_family,simple,WATER/FLAVOURED WATER,,VOLVIC TOUCH OF FRUIT SUMMER FRUIT SUGAR FREE,VOLVIC TOUCH OF FRUIT SUMMER FRUIT SUGAR FREE,VOLVIC TOUCH OF FRUIT SUMMER FRUIT SUGAR FREE,1,1,,,,10,5.99,,,,volvic-touch-of-fruit-summer-fruit-sugar-free-903759,,,,1,default=2,,,,19,1,,2,6x750ML,,,PLAIN,10,33.07,,,,,,1.79,,No Shipping class,
903684,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER",,FROSTY JACK WHITE CIDER PMP £6.09,FROSTY JACK WHITE CIDER PMP £6.09,FROSTY JACK WHITE CIDER PMP £6.09,1,1,,,,10,14.99,,,,frosty-jack-white-cider-pmp-ps609-903684,,,,1,default=25,,,,19,1,,25,4x2.5LTR,,,PMP,,26.16,,,,,,6.09,,No Shipping class,
39605,,en,variant_family,simple,WINE/PERRY,,BELLARINI BIANCO,BELLARINI BIANCO,BELLARINI BIANCO,1,1,,,,10,10.39,,,,bellarini-bianco-39605,,,,1,default=34,,,,19,1,,34,12X75CL,,,PLAIN,,38.52,,,,,,1.69,,No Shipping class,
13378,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER",,CRUMPTONS OAK APPLE CIDER PM4.99,CRUMPTONS OAK APPLE CIDER PM4.99,CRUMPTONS OAK APPLE CIDER PM4.99,1,1,,,,10,10.99,,,,crumptons-oak-apple-cider-pm499-13378,,,,1,default=2,,,,19,1,,2,4X2.5LTR,,,PMP,,33.93,,,,,,4.99,,No Shipping class,
38595,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER",,FROSTY JACK WHITE CIDER PMP £5.99,FROSTY JACK WHITE CIDER PMP £5.99,FROSTY JACK WHITE CIDER PMP £5.99,1,1,,,,10,14.79,12.29,2025-05-05,2025-11-05,frosty-jack-white-cider-pmp-ps599-38595,,,,1,default=4,,,,19,1,,4,4X2.5LTR,,,PMP,,25.93,,2025 WEEK 18 PROMOTION,2025-05-05,2025-11-05,,5.99,,No Shipping class,
