item,VAT,hierarchy1,hierarchy2,description,,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Retail Ean 1,Retail Ean 2,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type,Brand,Size,Clearance stock in  number,Clerance pack size,Clearance Price,Product pack 1 in layer,Product pack 1 in Pallet,Product location in warehouse,Product pack 1 weight,Product pack 1 dimansion in cm,Product pack 1 volumetric weight
903193,A,3,3006,FIREBALL CINNMON & WHISKY LIQUEUR,,12x5CL,7,0,,,,,,,12.59,10,124.99,,,,,,,,,,,,,1.65,23.7,PLAIN,VARIENT,,,,,,,,,,,
903200,A,1,1003,FOSTERS SHANDY 4PACK,,6x440ML,3,3,,,,,,,15.49,,,,,,,,,,,,,,,4.19,26.06,PLAIN,SINGLE,,,,,,,,,,,
903478,Z,19,18010,WHITE PEARL SUNFLOWER OIL,,3x5LTR,89,89,,,,,,,19.5,,,,,,,,,,,,,,,6.99,7.01,PLAIN,SINGLE,,,,,,,,,,,
903759,A,5,5003,VOLVIC TOUCH OF FRUIT SUMMER FRUIT SUGAR FREE,,6x750ML,2,2,,,,,,,5.99,,,,,,,,,,,,,,10,1.79,33.07,PLAIN,SINGLE,,,,,,,,,,,
903684,A,1,1004,FROSTY JACK WHITE CIDER PMP �6.09,,4x2.5LTR,25,25,,,,,,,14.99,,,,,,,,,,,,,,,6.09,26.16,PMP,SINGLE,,,,,,,,,,,
39605,A,2,2007,BELLARINI BIANCO,,12X75CL,34,34,,,,,,,10.39,,,,,,,,,,,,,,,1.69,38.52,PLAIN,SINGLE,,,,,,,,,,,
13378,A,1,1004,CRUMPTONS OAK APPLE CIDER PM4.99,,4X2.5LTR,2,2,,,,,,,10.99,,,,,,,,,,,,,,,4.99,33.93,PMP,SINGLE,,,,,,,,,,,
38595,A,1,1004,FROSTY JACK WHITE CIDER PMP �5.99,,4X2.5LTR,4,4,,,,,,,14.79,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,12.29,,,,,,5.99,25.93,PMP,SINGLE,,,,,,,,,,,
39250,A,1,1004,BLACK STORM CIDER CAN PM�1.29,,24X500ML,113,113,,,,,,,17.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,17.89,,,,,,1.29,30.27,PMP,SINGLE,,,,,,,,,,,
39580,A,1,1004,KNIGHTS CIDER CAN 8.4% 4PACK,,6X500ML,88,88,,,,,,,19.49,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,19.39,,,,,,5.49,29,PLAIN,SINGLE,,,,,,,,,,,
39592,A,1,1004,FROSTY JACK WHITE CIDER CAN 4PACK,,6X500ML,20,20,,,,,,,18.79,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,17.79,,,,,,5.49,31.55,PLAIN,SINGLE,,,,,,,,,,,
39600,A,1,1004,WHITE STORM CIDER PM �5.69,,4X2.5LTR,54,54,,,,,,,13.29,,,,,,,,,,,,,,,5.69,29.93,PMP,SINGLE,,,,,,,,,,,
111764,A,3,3006,GABRIEL BOUDIER DIJON CREME DE CASSIS,,1X50CL,6,1,,,,,,,11.49,6,68.75,,,,,,,,,,,,,15.99,13.77,PLAIN,VARIENT,,,,,,,,,,,
111770,A,3,3004,HOXTON BANANA RUM,,1X70CL,6,1,,,,,,,25.19,6,149.99,,,,,,,,,,,,,37.99,20.43,PLAIN,VARIENT,,,,,,,,,,,
111777,A,3,3004,TANDUAY GOLD ASIAN RUM,,1X70CL,6,1,,,,,,,17.79,6,106.15,,,,,,,,,,,,,26.99,20.9,PLAIN,VARIENT,,,,,,,,,,,
111778,A,3,3004,PILIPINA'S ESPECIA SPICED RUM TANDUAY,,1X70CL,3,0,,,,,,,19.99,6,117.99,,,,,,,,,,,,,29.99,20.01,PLAIN,VARIENT,,,,,,,,,,,
111765,A,3,3006,GABRIEL BOUDIER CREME DE MURES,,1X50CL,6,1,,,,,,,11.39,6,67.69,,,,,,,,,,,,,15.99,14.52,PLAIN,VARIENT,,,,,,,,,,,
111768,A,3,3002,DADDY RACK TENNESSEE STRAIGHT WHISKEY,,1X70CL,11,1,,,,,,,27.29,6,162.99,,,,,,,,,,,,,40.99,20.11,PLAIN,VARIENT,,,,,,,,,,,
111771,A,3,3001,HOXTON DRY GIN,,1X70CL,7,1,,,,,,,21.19,6,125.99,,,,,,,,,,,,,29.99,15.21,PLAIN,VARIENT,,,,,,,,,,,
111772,A,3,3001,HOXTON GIN,,1X70CL,7,1,,,,,,,25.59,6,152.99,,,,,,,,,,,,,37.99,19.17,PLAIN,VARIENT,,,,,,,,,,,
111773,A,3,3006,HOXTON LONDON SPRITZ,,1X70CL,7,1,,,,,,,20.19,6,119.99,,,,,,,,,,,,,29.99,19.21,PLAIN,VARIENT,,,,,,,,,,,
111775,A,3,3001,HOXTON PINK,,1X70CL,7,1,,,,,,,27.99,6,159.99,,,,,,,,,,,,,41.99,20.01,PLAIN,VARIENT,,,,,,,,,,,
151613,A,4,4002,MOGU MOGU PINEAPPLE,,6x320ML,1,0,,,,,,,3.69,4,14.49,,,,,,,,,,,,10,1.09,32.29,PLAIN,VARIENT,,,,,,,,,,,
151423,A,4,4002,MOGU MOGU ORANGE,,6x320ML,2,0,,,,,,,3.69,4,14.29,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
151425,A,4,4002,MOGU MOGU PASSION FRUIT,,6x320ML,4,1,,,,,,,3.69,4,14.76,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
151424,A,4,4002,MOGU MOGU PINK GUAVA,,6x320ML,4,1,,,,,,,3.69,4,14.49,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
151627,A,4,4002,MOGU MOGU MELON,,6X320ML,36,9,,,,,,,3.69,4,14.29,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
903359,Z,18,18010,CRYSTAL PURE SUNFLOWER OIL,,1x5 LTR,8570,2856,,,,,,,6.5,3,18,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,5.99,,,,,,7.99,18.65,PLAIN,VARIENT,,,,,,,,,,,
110110,Z,18,18010,UKRAINIAN GOLD SUNFLOWER OIL,,15X1LTR,86,86,,,,,,,16.99,,,,,,,,,,,,,,,1.99,43.08,PLAIN,SINGLE,,,,,,,,,,,
103211,A,7,7004,TECH-BAR BANANA ICE,,10X2ML,1,1,,,,,,,20.49,,,,,,,,,,,,,,,5.99,58.95,PLAIN,SINGLE,,,,,,,,,,,
191922,A,7,7004,LOST MARY BM600S BERRY COMBOS,,10x20MG,5,5,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
901659,A,7,7004,SKE CRYSTAL BAR BLUEBERRY CHERRY CRANBERRY,,10x20MG,8,8,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
